ID,DaRioRA,DaRioDEC,ObjID,ra,dec,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr,gMeanPSFmagNpt,rMeanPSFmagNpt,iMeanPSFmagNpt,zMeanPSFmagNpt,gFlags,gQfPerfect,rFlags,rQfPerfect,iFlags,iQfPerfect,zFlags,zQfPerfect
"10","83.16025","-5.521692","101370831602464368","83.16024908","-5.52169708","11.838","-999","11.463","-999","11.317","-999","11.255","-999","0","0","0","0","68","-999","16484","-999","68","-999","68","-999"
"10","83.16025","-5.521692","101370831602653288","83.16028126","-5.52244958","-999","-999","-999","-999","-999","-999","-999","-999","0","0","0","0","16416","-999","0","-999","16416","-999","16416","-999"
"10","83.16025","-5.521692","101370831603313916","83.16031215","-5.522095","-999","-999","13.64","0.001263","12.8633","0.0005","-999","-999","0","1","4","0","16416","-999","16793648","0.721225","16793656","0.063008","16416","-999"
"10","83.16025","-5.521692","101370831603765451","83.16050415","-5.5210282","-999","-999","-999","-999","-999","-999","-999","-999","0","0","0","0","16416","-999","16416","-999","16416","-999","16416","-999"
"10","83.16025","-5.521692","101370831605554261","83.16052416","-5.52167377","-999","-999","13.408","0.001","-999","-999","12.3741","0.001003","0","1","0","1","0","-999","16778264","0.507492","0","-999","24","0.070579"
"11","83.171625","-5.073497","101910831708182222","83.17081824","-5.07348786","-999","-999","-999","-999","-999","-999","-999","-999","0","0","0","0","16416","-999","16416","-999","16416","-999","0","-999"
"11","83.171625","-5.073497","101910831709552821","83.17098146","-5.0730169","-999","-999","-999","-999","17.2641","0.004786","-999","-999","0","0","2","0","0","-999","0","-999","16777232","0.903122","0","-999"
"11","83.171625","-5.073497","101910831712671626","83.17126803","-5.0739844","-999","-999","-999","-999","-999","-999","-999","-999","0","0","0","0","0","-999","16416","-999","0","-999","16416","-999"
"11","83.171625","-5.073497","101910831714003048","83.17140129","-5.07279957","-999","-999","-999","-999","-999","-999","-999","-999","0","0","0","0","16416","-999","16416","-999","16416","-999","16416","-999"
"11","83.171625","-5.073497","101910831715421554","83.17154236","-5.07404513","-999","-999","-999","-999","-999","-999","-999","-999","0","0","0","0","16416","-999","16416","-999","16416","-999","16416","-999"
"11","83.171625","-5.073497","101910831716132219","83.17160888","-5.07349416","12.204","-999","11.876","-999","11.753","-999","11.708","-999","0","0","0","0","100","-999","100","-999","100","-999","100","-999"
"11","83.171625","-5.073497","101910831720691971","83.17205391","-5.07367269","15.4464","0.003938","-999","-999","-999","-999","-999","-999","2","0","0","0","4120","0.465643","0","-999","0","-999","0","-999"
"11","83.171625","-5.073497","101910831720762637","83.17207678","-5.07314186","-999","-999","-999","-999","-999","-999","-999","-999","0","0","0","0","16416","-999","0","-999","16416","-999","16416","-999"
"12","83.171625","-5.857097","100970831716771868","83.17167296","-5.85712976","17.9102","0.003621","16.3811","0.001424","15.502","0.000669","14.9434","0.000943","7","9","14","8","16696","0.999603","16696","0.999641","16696","0.999325","16696","0.999634"
"13","83.171875","-5.345911","101580831714024356","83.17146517","-5.34657693","-999","-999","-999","-999","-999","-999","-999","-999","0","0","0","0","0","-999","0","-999","0","-999","0","-999"
"13","83.171875","-5.345911","101580831718765244","83.17186345","-5.34595503","14.157","0.000694","13.302","-999","12.987","-999","12.8","-999","3","0","0","0","16696","0.999287","16420","-999","16420","-999","16420","-999"
"13","83.171875","-5.345911","101580831719716105","83.17198305","-5.34530458","19.1358","0.02377","-999","-999","-999","-999","-999","-999","1","0","0","0","4120","0.578881","0","-999","0","-999","0","-999"
"13","83.171875","-5.345911","101580831720124808","83.17201216","-5.34633246","-999","-999","-999","-999","-999","-999","-999","-999","0","0","0","0","16416","-999","16416","-999","16416","-999","16416","-999"
"13","83.171875","-5.345911","101580831720254788","83.17202943","-5.34634569","-999","-999","-999","-999","-999","-999","-999","-999","0","0","0","0","16416","-999","16416","-999","0","-999","16416","-999"
"14","83.174875","-5.656658","101210831746643264","83.17459847","-5.65604651","-999","-999","-999","-999","17.8925","0.005888","-999","-999","0","0","4","0","0","-999","0","-999","16781336","0.803864","0","-999"
"14","83.174875","-5.656658","101210831748652419","83.17484012","-5.65666594","14.8091","0.000895","13.241","-999","12.621","-999","12.225","-999","4","0","0","0","16696","0.999787","16420","-999","16420","-999","16420","-999"
"14","83.174875","-5.656658","101210831752142965","83.17508898","-5.65623478","-999","-999","-999","-999","16.1754","0.004853","-999","-999","0","0","2","0","0","-999","0","-999","16781336","0.847235","0","-999"
"15","83.177208","-5.093725","101880831772577937","83.17728052","-5.09372483","16.8069","0.001735","15.5768","0.000759","14.4596","0.000376","13.9744","0.000633","8","11","14","7","16696","0.999763","16696","0.999173","16696","0.999369","16696","0.999708"
"16","83.177792","-4.992028","102000831773629180","83.17736245","-4.99269741","-999","-999","-999","-999","-999","-999","-999","-999","0","0","0","0","0","-999","0","-999","0","-999","0","-999"
"16","83.177792","-4.992028","102000831778169979","83.17780168","-4.9920302","15.5071","0.001019","14.4235","0.000471","13.8252","0.000746","13.3619","0.000859","6","9","2","2","16696","0.999338","16696","0.999294","16793912","0.998181","16696","0.999097"
"17","83.178292","-5.185008","101770831781357815","83.1781284","-5.18546861","-999","-999","-999","-999","17.5559","0.009269","-999","-999","0","0","1","0","0","-999","0","-999","16781336","0.694138","0","-999"
